name,link
Counselling and Psychological Services,https://www.concordia.ca/health/mental-health/counselling.html
Loyola College for Diversity and Sustainability,https://www.concordia.ca/artsci/loyola-college-diversity-sustainability.html
Loyola Landing,https://www.concordia.ca/students/services/loyola.html
CPE Les P'tits Profs Daycare,http://lesptitsprofs.wordpress.com/
Loyola College for Diversity and Sustainability and Loyola,https://www.concordia.ca/artsci/loyola-college-diversity-sustainability.html
Communication Studies,https://www.concordia.ca/artsci/coms.html
Journalism,https://www.concordia.ca/artsci/journalism.html
Concordia Stingers,https://stingers.ca/
Loyola Chapel,https://www.concordia.ca/hospitality/venues/loyola-chapel.html
Centre for Structural and Functional Genomics,https://www.concordia.ca/research/genomics.html
Loyola Student Residence,https://www.concordia.ca/students/housing/residences/loyola-residences.html
Concordia University Faculty Association (CUFA),https://cufa.net/
Athletic Therapy Clinic,https://www.concordia.ca/schoolofhealth/for-public/assessment-rehabilitation.html
Nutrition Centre,https://www.concordia.ca/schoolofhealth/for-public/nutrition.html
PERFORM Gym,https://www.concordia.ca/schoolofhealth/for-public/gym-fitness-classes.html
School of Health,https://www.concordia.ca/schoolofhealth.html
Concert Hall,https://www.concordia.ca/arts/venues/oscar-peterson.html
Centre for Clinical Research in Health (CCRH),https://www.concordia.ca/research/clinical-research-health.html
Psychology,https://www.concordia.ca/artsci/psychology.html
Concordia Stadium,https://www.concordia.ca/campus-life/recreation/facilities/athletic-complex.html
Ed Meagher Arena,https://www.concordia.ca/campus-life/recreation/facilities/arena.html
Gymnasium,https://www.concordia.ca/campus-life/recreation/facilities/athletic-complex.html
Conference services,https://www.concordia.ca/hospitality.html
Loyola Jesuit Hall and Conference Centre,https://www.concordia.ca/hospitality/venues/loyola-jesuit-hall-conference-centre.html
Cafeteria,https://www.concordia.ca/campus-life/food-services/places-to-eat/buzz-dining-hall.html
Café,https://hivecafe.ca/
Food Services,https://www.concordia.ca/students/housing/residences.html
Science College,https://www.concordia.ca/artsci/science-college.html
Biology,https://www.concordia.ca/artsci/biology.html
Centre for Biological Applications of Mass Spectrometry,https://www.concordia.ca/research/mass-spec.html
Centre for NanoScience Research,https://www.concordia.ca/research/nanoscience.html
Centre for Research in Molecular Modeling,https://www.concordia.ca/research/molecular-modeling.html
Centre for Studies in Behavioral Neurobiology,https://www.concordia.ca/research/molecular-modeling.html
Chemistry and Biochemistry,https://www.concordia.ca/artsci/chemistry.html
"Health, Kinesiology and Applied Physiology",https://www.concordia.ca/artsci/health-kinesiology-physiology.html
Physics,https://www.concordia.ca/artsci/physics.html
Centre for the Arts in Human Development (CAHD),https://www.concordia.ca/finearts/research-creation/cahd.html
Applied Human Sciences,https://www.concordia.ca/artsci/applied-human-sciences.html
Georges P. Vanier Library,https://library.concordia.ca/locations/vanier.php
